Date,Frequency,WiFiState,RSSIlevel,ScreenState,Battery
624165,902000,3,-52,255,84
624266,546000,3,-52,255,84
624367,902000,3,-52,255,84
624470,1144000,3,-52,255,84
624571,839000,3,-52,255,84
624671,757000,3,-52,255,84
624772,902000,3,-52,255,84
624872,676000,3,-52,255,84
624973,546000,3,-52,255,84
625024,676000,3,-52,255,84
625124,902000,3,-52,255,84
625224,1586000,3,-52,255,84
625325,1586000,3,-52,255,84
625425,1586000,3,-52,255,84
625527,546000,3,-52,255,84
625627,546000,3,-52,255,84
625728,1352000,3,-52,255,84
625829,1014000,3,-52,255,84
625929,1482000,3,-52,255,84
626030,1586000,3,-52,255,84
626132,1586000,3,-52,255,84
626232,1586000,3,-52,255,84
626331,1586000,3,-52,255,84
626431,1586000,3,-52,255,84
626532,1586000,3,-52,255,84
626632,1586000,3,-52,255,84
626733,1586000,3,-52,255,84
626833,1248000,3,-52,255,84
626934,1586000,3,-52,255,84
627035,1586000,3,-52,255,84
627135,1586000,3,-52,255,84
627237,1586000,3,-52,255,84
627337,1586000,3,-52,255,84
627440,1586000,3,-52,255,84
627538,1586000,3,-52,255,84
627639,1586000,3,-52,255,84
627740,1586000,3,-52,255,84
627840,1586000,3,-52,255,84
627941,1586000,3,-52,255,84
628042,1586000,3,-52,255,84
628142,1144000,3,-52,255,84
628243,902000,3,-52,255,84
628343,902000,3,-52,255,84
628444,1248000,3,-52,255,84
628545,676000,3,-52,255,84
628645,902000,3,-52,255,84
628746,546000,3,-52,255,84
628846,1482000,3,-52,255,84
628946,1586000,3,-52,255,84
629048,546000,3,-52,255,84
629149,546000,3,-52,255,84
629250,902000,3,-52,255,84
629351,1014000,3,-52,255,84
629451,1248000,3,-52,255,84
629552,1248000,3,-52,255,84
629653,676000,3,-52,255,84
629754,546000,3,-52,255,84
629855,546000,3,-52,255,84
629955,546000,3,-52,255,84
630056,546000,3,-52,255,84
630157,676000,3,-52,255,84
630258,1144000,3,-52,255,84
630358,1248000,3,-52,255,84
630459,1248000,3,-52,255,84
630560,546000,3,-52,255,84
630661,757000,3,-52,255,84
630762,902000,3,-52,255,84
630864,1248000,3,-52,255,84
630965,546000,3,-52,255,84
631066,676000,3,-52,255,84
631167,676000,3,-52,255,84
631267,1482000,3,-52,255,84
631371,676000,3,-52,255,84
631472,1248000,3,-52,255,84
631573,546000,3,-52,255,84
631674,676000,3,-52,255,84
631774,676000,3,-52,255,84
631875,676000,3,-52,255,84
631976,546000,3,-52,255,84
632077,546000,3,-52,255,84
632177,676000,3,-52,255,84
632278,1144000,3,-52,255,84
632378,902000,3,-52,255,84
632479,1144000,3,-52,255,84
632580,1144000,3,-52,255,84
632680,839000,3,-52,255,84
632781,676000,3,-52,255,84
632882,676000,3,-52,255,84
632983,676000,3,-52,255,84
633084,757000,3,-52,255,84
633185,1014000,3,-52,255,84
633285,1352000,3,-52,255,84
633386,1248000,3,-52,255,84
633486,1248000,3,-52,255,84
633587,676000,3,-52,255,84
633688,676000,3,-52,255,84
633789,546000,3,-52,255,84
633889,676000,3,-52,255,84
633990,676000,3,-52,255,84
634090,839000,3,-52,255,84
634192,902000,3,-52,255,84
634294,1248000,3,-52,255,84
634394,1352000,3,-52,255,84
634495,1248000,3,-52,255,84
634596,676000,3,-52,255,84
634698,757000,3,-52,255,84
634801,676000,3,-52,255,84
634902,757000,3,-52,255,84
634953,757000,3,-52,255,84
635053,839000,3,-52,255,84
635155,546000,3,-52,255,84
635255,902000,3,-52,255,84
635356,546000,3,-52,255,84
635456,1144000,3,-52,255,84
635557,676000,3,-52,255,84
635658,546000,3,-52,255,84
635760,546000,3,-52,255,84
635861,902000,3,-52,255,84
635962,1014000,3,-52,255,84
636063,546000,3,-52,255,84
636164,676000,3,-52,255,84
636264,902000,3,-52,255,84
636365,1248000,3,-52,255,84
636465,1248000,3,-52,255,84
636566,546000,3,-52,255,84
636667,902000,3,-52,255,84
636767,546000,3,-52,255,84
636868,546000,3,-52,255,84
636969,546000,3,-52,255,84
637069,676000,3,-52,255,84
637173,902000,3,-52,255,84
637271,1586000,3,-52,255,84
637372,902000,3,-52,255,84
637475,1248000,3,-52,255,84
637576,546000,3,-52,255,84
637676,902000,3,-52,255,84
637777,546000,3,-52,255,84
637878,546000,3,-52,255,84
637979,839000,3,-52,255,84
638079,839000,3,-52,255,84
