Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.01_22.02.55,5,-99,-12,2,6,-81,6263,116,129.88
2017.12.01_22.02.56,5,-99,-14,2,6,-81,7515,161,129.88
2017.12.01_22.02.57,5,-99,-14,2,6,-81,7012,131,129.88
2017.12.01_22.02.58,5,-97,-14,0,6,-81,6878,150,129.88
2017.12.01_22.02.59,5,-97,-14,0,6,-78,5021,116,129.88
2017.12.01_22.03.00,5,-98,-12,1,6,-81,4809,89,129.88
2017.12.01_22.03.02,5,-98,-12,1,7,-79,5323,118,129.88
2017.12.01_22.03.03,5,-96,-12,3,7,-79,6128,113,129.88
2017.12.01_22.03.04,5,-96,-12,3,7,-79,6430,118,129.88
2017.12.01_22.03.05,5,-95,-11,4,7,-79,7839,157,129.88
2017.12.01_22.03.06,5,-95,-11,4,7,-79,6922,146,129.88
2017.12.01_22.03.07,5,-95,-13,3,7,-79,6061,112,129.88
2017.12.01_22.03.08,5,-95,-13,3,7,-79,7538,140,129.88
2017.12.01_22.03.09,5,-96,-13,3,8,-76,6598,145,129.88
2017.12.01_22.03.11,5,-96,-13,3,7,-76,7359,136,129.88
2017.12.01_22.03.12,5,-95,-13,4,7,-76,6542,121,129.88
