TimeMS,Time,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Screen Bright,Battery,Download,Upload,Quality
2440060,2440,00:40:40,1811088,676000,40,-67,4,71,820,11,720
2450060,2450,00:40:50,1813684,902000,40,-62,4,71,820,11,720
2460060,2460,00:41:00,1811620,902000,40,-62,4,71,820,11,720
2470060,2470,00:41:10,1812116,1586000,40,-66,4,71,820,11,720
2480060,2480,00:41:20,1805408,1144000,40,-60,4,71,820,11,720
2490060,2490,00:41:30,1825336,757000,40,-60,4,71,820,11,720
2500060,2500,00:41:40,1801820,1586000,40,-60,4,70,820,11,720
2510060,2510,00:41:50,1851388,1586000,40,-66,4,70,820,11,720
2520060,2520,00:42:00,1818476,1014000,40,-56,4,70,820,11,720
2530060,2530,00:42:10,1800992,1144000,40,-67,4,70,820,11,720
2540060,2540,00:42:20,1812612,676000,40,-56,4,70,820,11,720
2550060,2550,00:42:30,1767132,902000,40,-67,4,70,820,11,720
2560060,2560,00:42:40,1799556,1586000,40,-67,4,70,820,11,720
2570060,2570,00:42:50,1824976,839000,40,-60,4,70,820,11,720
2580060,2580,00:43:00,1821704,1248000,40,-69,4,70,820,11,720
2590060,2590,00:43:10,1821720,1248000,40,-55,4,70,820,11,720
2600060,2600,00:43:20,1796436,1586000,40,-55,4,70,820,11,720
2610060,2610,00:43:30,1818368,1586000,40,-55,4,70,820,11,720
2620060,2620,00:43:40,1823576,1586000,40,-55,4,70,820,11,720
2630060,2630,00:43:50,1825060,1248000,40,-55,4,70,820,11,720
2640060,2640,00:44:00,1774960,902000,40,-55,4,70,820,11,720
2650060,2650,00:44:10,1811524,1482000,40,-64,4,70,820,11,720
2660060,2660,00:44:20,1787304,902000,40,-63,4,70,820,11,720
2670060,2670,00:44:30,1818496,902000,40,-63,4,70,820,11,720
2680060,2680,00:44:40,1788208,757000,40,-67,4,70,820,11,720
2690060,2690,00:44:50,1817076,1014000,40,-67,4,70,820,11,720
2700060,2700,00:45:00,1794492,757000,40,-56,4,70,820,11,720
2710060,2710,00:45:10,1818908,902000,40,-56,4,70,820,11,720
2720060,2720,00:45:20,1824084,1482000,40,-56,4,70,820,11,720
2730060,2730,00:45:30,1810292,1144000,40,-56,4,70,820,11,720
2740060,2740,00:45:40,1824828,839000,40,-56,4,70,820,11,720
2750060,2750,00:45:50,1803624,1586000,40,-56,4,70,820,11,720
2760060,2760,00:46:00,1807144,676000,40,-56,4,70,820,11,720
2770060,2770,00:46:10,1802824,676000,40,-56,4,70,820,11,720
2780060,2780,00:46:20,1825024,902000,40,-56,4,70,820,11,720
2790060,2790,00:46:30,1813352,902000,40,-56,4,70,820,11,720
2800060,2800,00:46:40,1825256,902000,40,-56,4,69,820,11,720
2810060,2810,00:46:50,1807152,676000,40,-56,4,69,820,11,720
2820060,2820,00:47:00,1804784,676000,40,-56,4,69,820,11,720
2830060,2830,00:47:10,1800752,1586000,40,-56,4,69,820,11,720
2840060,2840,00:47:20,1820316,1248000,40,-65,4,69,820,11,720
2850060,2850,00:47:30,1800344,1482000,40,-63,4,69,820,11,720
2860060,2860,00:47:40,1812004,1482000,40,-63,4,69,820,11,720
2870060,2870,00:47:50,1822620,1586000,40,-63,4,69,820,11,720
2880060,2880,00:48:00,1799496,1014000,40,-63,4,69,820,11,720
2890060,2890,00:48:10,1824608,1586000,40,-63,4,69,820,11,720
2900060,2900,00:48:20,1818732,546000,40,-63,4,69,820,11,720
